facebook-zero.tns,4,3235.7
facebook-zero.tns,16,4348.05
facebook-zero.tns,4,3019.8
#k=3895543,l=3895543,j=1,and just change the N from 4 to 128
facebook-zero.tns,4,3023.25
facebook-zero.tns,8,1370.3
facebook-zero.tns,16,1998.4
facebook-zero.tns,32,3285
facebook-zero.tns,64,8373.85
facebook-zero.tns,128,21561.3
#CTF generated
facebook-zero.tns,4,3157.15
#CTF generated, and just change the N from 4 to 128
facebook-zero.tns,4,3155.9
facebook-zero.tns,8,3366.75
facebook-zero.tns,16,3895.65
facebook-zero.tns,32,5066.9
facebook-zero.tns,64,6500.85
facebook-zero.tns,128,11166.6
